USUARIAS,SEGMENTO,CIUDAD,DEPARTAMENTO,PAIS,DISTRITO,ETAPA_BEBE
1,Bronce,LA VIRGINIA,RISARALDA,COLOMBIA,EJE CAFETERO,aventurero
1,Plata,BARRANCABERMEJA,SANTANDER,COLOMBIA,SANTANDERES,embarazada
3,Plata,BOYACA,BOYACA,COLOMBIA,CUNDI-BOY,recien nacido
1,Plata,CUMARAL,META,COLOMBIA,LLANOS,recien nacido
2,Bronce,SAN LUIS DE PALENQUE,CASANARE,COLOMBIA,LLANOS,explorador
1,Bronce,NUEVA GRANADA,MAGDALENA,COLOMBIA,ATLANTICO,explorador
1,Bronce,PAIPA,BOYACA,COLOMBIA,CUNDI-BOY,explorador
1,Plata,ISNOS,HUILA,COLOMBIA,CENTRO,embarazada
2,Oro,FRESNO,TOLIMA,COLOMBIA,CENTRO,recien nacido
1,Bronce,PUERTO NARI?O,AMAZONAS,COLOMBIA,OTRO,explorador
2,Plata,TURBACO,BOLIVAR,COLOMBIA,ATLANTICO,recien nacido
1,Bronce,COROZAL,SUCRE,COLOMBIA,ATLANTICO,aventurero
1,Plata,VILLETA,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,recien nacido
2,Bronce,FILANDIA,QUINDIO,COLOMBIA,EJE CAFETERO,recien nacido
1,Bronce,MALAGA,SANTANDER,COLOMBIA,SANTANDERES,embarazada
1,Bronce,PIEDRA ANCHA,NARI?O,COLOMBIA,PACIFICO,recien nacido
1,Bronce,ANAPOIMA,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,embarazada
1,Oro,MOCOA,PUTUMAYO,COLOMBIA,PACIFICO,embarazada
1,Bronce,ARGELIA,ANTIOQUIA,COLOMBIA,ANTIOQUIA,recien nacido
1,Bronce,TRINIDAD,CASANARE,COLOMBIA,LLANOS,recien nacido
1,Bronce,COGUA,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,embarazada
1,Bronce,VILLANUEVA,SANTANDER,COLOMBIA,SANTANDERES,acostadito
1,Plata,SAN ONOFRE,SUCRE,COLOMBIA,ATLANTICO,acostadito
6,Plata,BUENAVENTURA,VALLE DEL CAUCA,COLOMBIA,PACIFICO,aventurero
1,Oro,AYAPEL,CORDOBA,COLOMBIA,ATLANTICO,aventurero
1,Plata,PUEBLO RICO,RISARALDA,COLOMBIA,EJE CAFETERO,aventurero
1,Oro,EL BANCO,MAGDALENA,COLOMBIA,ATLANTICO,aventurero
1,Bronce,MOCOA,PUTUMAYO,COLOMBIA,PACIFICO,aventurero
1,Oro,SAN ROQUE,ANTIOQUIA,COLOMBIA,ANTIOQUIA,explorador
1,Plata,AYAPEL,CORDOBA,COLOMBIA,ATLANTICO,aventurero
1,Oro,SALAMINA,CALDAS,COLOMBIA,EJE CAFETERO,explorador
1,Plata,PUEBLOVIEJO,MAGDALENA,COLOMBIA,ATLANTICO,explorador
