ID,CIUDAD,DEPARTAMENTO,PAIS,FECHA_PRIMER_CONTACTO,DISTRITO,ETAPA_BEBE,HIJOS
5772593,MEDELLIN,ANTIOQUIA,COLOMBIA,2018-04-24,ANTIOQUIA,explorador,1
5994114,SOACHA,CUNDINAMARCA,COLOMBIA,2017-10-04,CUNDI-BOY,aventurero,1
5962894,BUCARAMANGA,SANTANDER,COLOMBIA,2017-12-17,SANTANDERES,aventurero,1
6074935,CARTAGENA DE INDIAS,BOLIVAR,COLOMBIA,2017-05-11,ATLANTICO,aventurero,1
6162828,BOGOTA D.C.,CUNDINAMARCA,COLOMBIA,2018-01-17,CUNDI-BOY,N/A,0
6177978,BELLO,ANTIOQUIA,COLOMBIA,2017-09-08,ANTIOQUIA,aventurero,1
6176338,MANIZALES,CALDAS,COLOMBIA,2017-12-02,EJE CAFETERO,explorador,1
6194524,BOGOTA D.C.,CUNDINAMARCA,COLOMBIA,2019-03-14,CUNDI-BOY,N/A,0
6135517,BOGOTA D.C.,CUNDINAMARCA,COLOMBIA,2017-07-29,CUNDI-BOY,N/A,0
6182982,MEDELLIN,ANTIOQUIA,COLOMBIA,2018-01-09,ANTIOQUIA,explorador,1
6051415,BARRANQUILLA,ATLANTICO,COLOMBIA,2018-07-20,ATLANTICO,explorador,1
6111856,CALI,VALLE DEL CAUCA,COLOMBIA,2017-06-14,PACIFICO,N/A,0
6201286,QUINCHIA,RISARALDA,COLOMBIA,2019-04-05,EJE CAFETERO,explorador,1
6156369,MEDELLIN,ANTIOQUIA,COLOMBIA,2018-12-08,ANTIOQUIA,explorador,1
5976294,BOGOTA D.C.,CUNDINAMARCA,COLOMBIA,2019-01-27,CUNDI-BOY,explorador,1
6145081,MOCOA,PUTUMAYO,COLOMBIA,2019-10-20,PACIFICO,recien nacido,1
6177990,CARTAGENA DE INDIAS,BOLIVAR,COLOMBIA,2017-10-04,ATLANTICO,aventurero,1
6177310,CARTAGENA DE INDIAS,BOLIVAR,COLOMBIA,2018-02-21,ATLANTICO,aventurero,1
6217319,MANIZALES,CALDAS,COLOMBIA,2019-08-02,EJE CAFETERO,N/A,0
6175431,BOGOTA D.C.,CUNDINAMARCA,COLOMBIA,2017-09-06,CUNDI-BOY,N/A,0
5752113,MONTERIA,CORDOBA,COLOMBIA,2017-07-08,ATLANTICO,aventurero,1
5556152,PASTO,NARI?O,COLOMBIA,2017-01-12,PACIFICO,aventurero,1
6114196,LA UNION-VALLE,VALLE DEL CAUCA,COLOMBIA,2018-11-30,PACIFICO,acostadito,1
6117556,SINCELEJO,SUCRE,COLOMBIA,2017-06-21,ATLANTICO,N/A,0
6100796,MEDELLIN,ANTIOQUIA,COLOMBIA,2018-08-23,ANTIOQUIA,explorador,1
6168318,MEDELLIN,ANTIOQUIA,COLOMBIA,2017-08-28,ANTIOQUIA,N/A,0
6167469,BELLO,ANTIOQUIA,COLOMBIA,2019-04-02,ANTIOQUIA,recien nacido,1
6220360,ITAGUI,ANTIOQUIA,COLOMBIA,2019-03-29,ANTIOQUIA,acostadito,1
6247080,BARRANQUILLA,ATLANTICO,COLOMBIA,2018-08-22,ATLANTICO,explorador,1
6211841,BELLO,ANTIOQUIA,COLOMBIA,2017-10-17,ANTIOQUIA,N/A,0
6248222,MEDELLIN,ANTIOQUIA,COLOMBIA,2018-02-08,ANTIOQUIA,explorador,1
6315544,AGUAZUL,CASANARE,COLOMBIA,2018-01-25,LLANOS,N/A,0
5527272,SAN JACINTO,BOLIVAR,COLOMBIA,2018-06-19,ATLANTICO,explorador,1
5584432,ARMENIA,QUINDIO,COLOMBIA,2019-03-22,EJE CAFETERO,recien nacido,1
6143929,SUBA,CUNDINAMARCA,COLOMBIA,2017-07-27,CUNDI-BOY,N/A,0
6185210,GARAGOA,BOYACA,COLOMBIA,2019-05-16,CUNDI-BOY,explorador,1
6167401,PEREIRA,RISARALDA,COLOMBIA,2018-10-29,EJE CAFETERO,explorador,1
6223326,BUCARAMANGA,SANTANDER,COLOMBIA,2019-02-04,SANTANDERES,acostadito,1
6228925,VALLEDUPAR,CESAR,COLOMBIA,2017-11-08,ATLANTICO,N/A,0
6120528,VILLAVICENCIO,META,COLOMBIA,2018-11-05,LLANOS,explorador,1
6240184,MEDELLIN,ANTIOQUIA,COLOMBIA,2019-07-09,ANTIOQUIA,acostadito,1
6106256,MEDELLIN,ANTIOQUIA,COLOMBIA,2017-06-07,ANTIOQUIA,N/A,0
6238166,CALI,VALLE DEL CAUCA,COLOMBIA,2017-11-23,PACIFICO,aventurero,1
6240446,MEDELLIN,ANTIOQUIA,COLOMBIA,2018-11-12,ANTIOQUIA,aventurero,1
6411484,CARTAGENA DE INDIAS,BOLIVAR,COLOMBIA,2018-05-08,ATLANTICO,aventurero,1
6227883,BOGOTA D.C.,CUNDINAMARCA,COLOMBIA,2019-06-09,CUNDI-BOY,acostadito,1
6250724,VILLAVICENCIO,META,COLOMBIA,2017-12-21,LLANOS,aventurero,1
6405005,BARRANQUILLA,ATLANTICO,COLOMBIA,2018-03-16,ATLANTICO,N/A,0
6164607,QUIBDO,CHOCO,COLOMBIA,2018-12-07,ANTIOQUIA,aventurero,1
6189521,CUCUTA,NORTE DE SANTANDER,COLOMBIA,2018-11-01,SANTANDERES,N/A,0
6202960,BARRANQUILLA,ATLANTICO,COLOMBIA,2019-03-19,ATLANTICO,aventurero,1
5633572,MEDELLIN,ANTIOQUIA,COLOMBIA,2019-09-03,ANTIOQUIA,embarazada,1
6316570,MEDELLIN,ANTIOQUIA,COLOMBIA,2018-04-12,ANTIOQUIA,aventurero,1
5670652,SANTA MARTA,MAGDALENA,COLOMBIA,2017-11-14,ATLANTICO,aventurero,1
6233930,PALMIRA,VALLE DEL CAUCA,COLOMBIA,2017-11-17,PACIFICO,aventurero,1
6208830,PALMIRA,VALLE DEL CAUCA,COLOMBIA,2017-10-13,PACIFICO,aventurero,1
